Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
08/18/2026 11:00 AM ET,"4485 GULF OF MEXICO DR APT 402 LONGBOAT KEY, FL- 34228","$88,799.05","$304,781.00","$88,799.05",412024CA001675CAAXMA,8016210653,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412024CA001675CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/8016210653
08/18/2026 11:00 AM ET,"5626 28TH ST W BRADENTON, FL- 34207","$317,211.21","$87,746.00","$317,211.21",412025CA000375CAAXMA,6104100000,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000375CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/6104100000
08/19/2026 11:00 AM ET,"10922 BULLRUSH TER LAKEWOOD RANCH, FL- 34202","$447,032.13","$547,030.00","$447,032.13",412018CA003716CAAXMA,584177209,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412018CA003716CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/584177209
08/19/2026 11:00 AM ET,"8452 LINDRICK LN BRADENTON, FL- 34202","$5,138,711.62","$1,748,826.00","$2,350,000.00",412018CA005016CAAXMA,331942909,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412018CA005016CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/331942909
08/19/2026 11:00 AM ET,"4754 MAINSAIL DR BRADENTON, FL- 34208","$1,519,358.22","$691,079.00","$1,519,358.22",412025CA000437CAAXMA,1076001719,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000437CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/1076001719
08/19/2026 11:00 AM ET,"501 GENERAL HARRIS STRET LONGBOAT KEY, FL- 34228","$1,554,303.29","$247,768.00","$185,724.42",412025CA001774CAAXMA,Property,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA001774CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
08/19/2026 11:00 AM ET,"5438 TRIPOLI DR PALMETTO, FL- 34221","$390,366.75","$266,973.00",Hidden,412025CA002688CAAXMA,718031109,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA002688CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/718031109
08/25/2026 11:00 AM ET,"3615 101ST AVE E PARRISH, FL- 34219","$7,147.75","$143,051.00",Hidden,412026CC000780CCAXMA,727119809,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412026CC000780CCAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/727119809
08/26/2026 11:00 AM ET,"2713 82ND AVE E ELLENTON, FL- 34222","$518,089.61","$402,087.00","$518,089.61",412025CA000550CAAXMA,843501305,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA000550CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/843501305
08/26/2026 11:00 AM ET,"618 12TH STREET DR W PALMETTO, FL- 34221","$261,545.12","$46,188.00","$261,545.12",412025CA002070CAAXMA,2643200005,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA002070CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/2643200005
08/26/2026 11:00 AM ET,"4016 KINGSFIELD DR PARRISH, FL- 34219","$512,377.26","$377,425.00","$512,377.26",412025CA002772CAAXMA,503604357,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA002772CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/503604357
08/26/2026 11:00 AM ET,"2201 GRAND FLORA TRL BRADENTON, FL- 34208","$489,652.92","$311,077.00","$267,300.00",412025CA002950CAAXMA,1383501809,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CA002950CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/1383501809
08/26/2026 11:00 AM ET,"2207 38TH AVE E BRADENTON, FL- 34208","$250,125.80","$184,613.00","$250,125.80",412026CA000147CAAXMA,1635800004,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412026CA000147CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/1635800004
08/27/2026 11:00 AM ET,"12250 CR 675 PARRISH, FL- 34219","$1,702,498.77","$319,973.00","$311,851.38",412024CA001288CAAXMA,464511005,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412024CA001288CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/464511005
08/27/2026 11:00 AM ET,"7280 83RD DR E BRADENTON, FL- 34201","$12,219.09","$250,750.00","$12,219.09",412025CC003179CCAXMA,2054122659,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412025CC003179CCAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/2054122659
08/27/2026 11:00 AM ET,"231 HERITAGE PRESERVE RUN BRADENTON, FL- 34212","$599,909.74","$459,998.00","$599,909.74",412026CA000035CAAXMA,1101818209,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412026CA000035CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/1101818209
09/01/2026 11:00 AM ET,"201 113TH ST E BRADENTON, FL- 34212","$8,150.89","$292,425.00","$8,150.89",412026CC000389CCAXMA,564607000,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412026CC000389CCAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/564607000
09/02/2026 11:00 AM ET,"6205 FAIRMONT LN PALMETTO, FL- 34221","$14,772.72","$221,543.00","$14,772.72",412023CA005803CAAXMA,612132959,https://manatee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=412023CA005803CAAXMA&bypassPage=1,https://pcpao.gov/Parcel-Details/612132959
